RIL,yd,tp,gn,kgw,gw,gl,hd,OsC1,Bin868
R089,11.87,11.275,58.8,18.025,2.59,8.51,62.9,0,1
R090,26.145,9.9,117.475,22.695,3.1,8.105,82.1,0,1
R092,34.3225,10.25,139.2,24.8675,3.235,8.45,80.9,1,0
R093,26.005,9.475,102.775,27.61,3.275,9.31,81.76666667,0,1
R094,29.5425,9.4,138.35,23.005,3.525,7.65,95.1,1,0
R097,19.5425,13.125,61.125,24.6225,3.105,8.545,75.9,0,1
R098,24.7,11.9,86.55,23.855,2.995,9.045,85.76666667,0,1
R099,26.8625,11.625,111,21.02,2.93,8.41,80.1,0,1
R100,30.8275,11,135.175,20.9825,2.99,8.27,81.76666667,0,1
R101,27.7975,9.325,131.05,22.905,3.34,8.125,95,0,1
R103,24.2575,10.8,102.625,21.8575,2.78,8.955,95,0,1
R105,36.99,11.825,109.55,28.0925,3.2,9.63,99.66666667,1,0
R106,25.3275,10.475,88.3,28.1925,3.255,9.295,73.9,0,1
R107,34.425,11.075,133.15,23.3675,3.4,8.23,100.3333333,1,0
R108,21.7975,10.675,76.25,27.4925,3.235,9.13,91.1,1,0
R109,26.0075,13.4,90.175,22.38,2.81,8.625,83.9,1,0
R111,18.4125,11.8,77.25,21.9,2.66,8.655,66.33333333,1,0
R112,20.755,11.15,84.85,23.505,2.905,9.29,72.43333333,0,1
R113,26.0625,10.55,105,23.76,3.085,8.58,76.33333333,0,1
R115,26.445,9.325,115.925,25.0275,3.025,8.855,81.43333333,1,0
R116,24.49,11.6,103.9,20.625,2.805,8.08,78.76666667,1,0
R118,9.96,11.075,50.175,18.945,2.635,8.945,58,0,1
R119,28.775,11.25,94.9,27.3675,3.435,8.535,71.9,0,1
R120,26.5575,12.325,91.55,23.78,2.99,8.725,82.56666667,0,1
R121,27.565,11.05,123.55,20.95,2.81,8.375,84.33333333,1,0
R122,27.365,10.95,93.4,27.205,3.325,8.61,82.1,1,0
R123,24.945,10.4,110.2,22.1075,2.82,8.595,85.76666667,0,1
R125,20.9625,11.625,79.225,22.4925,3.12,8.05,84.56666667,0,1
R126,23.675,11.125,97.8,21.895,2.98,8.045,78.56666667,0,1
